,jasmin_name,latitude,longitude,Area
172,,47.12,109.08,Kamchatka and Mainland Asia
173,butajiri-silti_field,8.05,38.35,Africa and Red Sea
174,buyan-bratan,-8.283,115.133,Indonesia
175,,64.07,-148.42,Alaska
176,cabalian,10.285,125.21799999999999,Philippines and SE Asia
177,caburgua-huelemolle,-39.25,-71.75,South America
178,,18.222,122.12299999999999,Philippines and SE Asia
179,caichinque,-23.949,-67.74,South America
180,calabozos,-35.558,-70.49600000000001,South America
181,calatrava_volcanic_field,38.87,4.02,Mediterranean and W. Asia
182,calbuco,-41.326,-72.61399999999999,South America
183,caldera_del_atuel,-34.65,-70.05,South America
184,callaqui,-37.92,-71.45,South America
185,,4.203,9.17,Africa and Red Sea
186,camiguin,9.203,124.67299999999999,Philippines and SE Asia
187,camiguin_de_babuyanes,18.83,121.86,Philippines and SE Asia
188,campi_flegrei,40.827,14.139000000000001,Mediterranean and W. Asia
189,campi_flegrei,40.821,14.425999999999998,Mediterranean and W. Asia
190,,-21.5,-68.12,South America
191,,-57.08,-26.67,Antarctica
192,,-24.02,-67.85,South America
193,,-18.07,-69.22,South America
194,carlisle,52.894,-170.054,Alaska
195,carran_los_venados,-40.35,-72.07,South America
196,carrizozo,33.78,-105.93,Canada and Western USA
197,cay,-45.059,-72.984,South America
198,cayambe,0.028999999999999998,-77.986,South America
199,cayley_volcanic_field,50.12,-123.28,Canada and Western USA
200,cayutue_la_vigueria,-41.25,-72.27,South America
201,ceboruco,21.125,-104.508,Mexico and Central America
202,,10.158,109.014,Philippines and SE Asia
203,central_island,3.5,36.042,Africa and Red Sea
204,cereme,-6.892,108.4,Indonesia
205,,-21.68,-68.12,South America
206,cerro_auquihuato,-15.07,-73.18,South America
207,cerro_azul,-0.92,-91.40799999999999,South America
208,,-35.653,-70.76100000000001,South America
209,cerro_bayo_gorbea,-25.414,-68.58800000000001,South America
210,cerro_blanco,-26.789,-67.765,South America
211,cerro_bravo,5.091,-75.293,South America
212,,-19.55,-68.68,South America
213,,-21.88,-67.9,South America
214,cerro_cinotepeque,14.02,-89.25,Mexico and Central America
215,,-26.18,-68.37,South America
216,,-20.63,-68.45,South America
217,,-25.25,-68.63,South America
218,,-23.398000000000003,-67.582,South America
219,cerro_del_azufre,-21.787,-68.237,South America
220,,-22.142,-68.108,South America
221,cerro_el_ciguatepe,12.53,-86.14200000000001,Mexico and Central America
222,,-25.93,-66.92,South America
223,cerro_hudson,-45.9,-72.97,South America
224,,-39.35,-71.55,South America
225,,-21.68,-67.47,South America
226,,-20.52,-68.68,South America
227,cerro_negro,12.505999999999998,-86.70200000000001,Mexico and Central America
228,,-35.58,-68.48899999999999,South America
229,cerro_nicholson,-16.261,-71.75399999999999,South America
230,cerro_overo,-23.52,-67.67,South America
231,cerro_pantojo,-40.768,-71.943,South America
232,cerro_prieto,32.418,115.305,Mexico and Central America
233,,-16.236,-69.471,South America
234,,-21.25,-67.75,South America
235,cerro_santiago,14.33,-89.87,Mexico and Central America
236,cerro_singuil,14.05,-89.65,Mexico and Central America
237,,-19.5,-69.12,South America
238,,-39.17,-71.4,South America
239,,-23.83,-67.95,South America
240,,-22.82,-67.18,South America
241,,-22.439,-67.888,South America
242,,-17.32,-69.9,South America
243,,38.33,127.33,Kamchatka and Mainland Asia
244,chacana,-0.375,-78.25,South America
245,chachadake,44.353,146.252,Kuril Islands
246,chachimbiro,0.46799999999999997,-78.28699999999999,South America
247,chagulak,52.577,-171.13,Alaska
248,chaine_des_puys,45.775,2.97,Mediterranean and W. Asia
249,chaiten,-42.833,-72.646,South America
250,changbaishan,41.98,128.08,Kamchatka and Mainland Asia
251,cherny,56.82,159.67,Kamchatka and Mainland Asia
