,name,latitude,longitude
234,Chagulak,52.577,-171.13
235,Chaine des Puys,45.775,2.97
236,Chaiten,-42.833,-72.646
237,Changbaishan,41.98,128.08
238,Cherny,56.82,159.67
239,Cherpuk Group,55.55,157.47
240,Chichinautzin,19.08,-99.13
241,Chiginagak,57.135,-156.99
242,Chikurachki,50.324,155.461
243,Chiles-Cerro Negro,0.8170000000000001,-77.938
244,Chiliques,-23.58,-67.7
245,Chimborazo,-1.464,-78.815
246,Chinameca,13.478,-88.33
247,Chingo,14.12,-89.73
248,Chiquimula Volcanic Field,14.83,-89.55
249,Chiracha,6.7120000000000015,38.085
250,Chirinkotan,48.98,153.48
251,Chirippusan [Chirip],45.338,147.92
252,Chirpoi,46.525,150.875
253,Churchill,61.38,-141.75
254,Chyulu Hills,2.68,37.88
255,Cinnamon Butte,43.24100000000001,-122.108
256,Clark,-36.446,177.83900000000003
257,Clear Lake,38.97,-122.77
258,Cleft Segment,44.83,-130.3
259,Cleveland,52.825,-169.94400000000005
260,Coatepeque Caldera,13.87,-89.55
261,CoAxial Segment,46.52,-129.58
262,Cobb Segment,46.88,-129.33
263,Cochiquito Volcanic Group,-36.739,-69.834
264,Cofre de Perote,19.492,-97.15
265,Colachi,-23.236,-67.645
266,Colima,19.514,-103.62
267,Comondú-La Purísima,26.0,111.92
268,Concepción,11.538,-85.62200000000001
269,Copahue,-37.856,-71.183
270,Copiapó,-27.3,-69.13
271,Corbetti,7.18,38.43
272,Corcovado,-43.18899999999999,-72.794
273,Cordón de Puntas Negras,-23.743,-67.53399999999999
274,Cordon del Azufre,-25.336,-68.521
275,Coronado,29.08,-113.513
276,Coropuna,-15.52,-72.65
277,Corvo,39.699,-31.111
278,Cosigüina,12.98,-87.57
279,Coso Volcanic Field,36.03,-117.82
280,Cotopaxi,-0.677,-78.436
281,Crater Basalt Volcanic Field,-42.018,-70.194
282,Crater Lake,42.93,-122.12
283,Craters of the Moon,43.42,-113.5
284,Crow Lagoon,54.7,-130.23
285,Cu-Lao Re Group,15.38,109.12
286,Cuernos de Negros,9.25,123.17
287,Cuernos del Diablo,-41.363,-72.005
288,Cuicocha,0.308,-78.36399999999998
289,Cuilapa-Barbarena,14.33,-90.4
290,Cumbal,0.95,-77.87
291,Curtis Island,-30.542,-178.56099999999995
292,Curutú,-23.17,-67.07
293,Dabbahu,12.595,40.48
294,Dabbayra,12.38,40.07
295,Dacht-i-Navar Group,33.95,67.92
296,Dama Ali,11.28,41.63
297,Damavand,35.951,52.109
298,Dana,55.64100000000001,-161.214
299,Dar-Alages,39.704,45.551
300,Dariganga Volcanic Field,45.33,114.0
301,Davidof,51.97,178.33
302,Davis Lake,43.57,-170.82
303,Deception Island,-63.00100000000001,-60.652
304,Dempo,-4.03,103.13
305,Denison,58.418,-154.44899999999996
306,Descabezado Grande,-35.58,-70.75
307,Deslinde,-22.27,-67.97
308,Devils Garden,43.512,-120.861
309,Diamond Craters,43.1,-118.75
310,Didicas,19.077,122.202
311,Dieng Volcanic Complex,-7.2,109.92
312,Diky Greben,51.452,156.97799999999995
313,Dofan,9.78,40.33
314,Domuyo,-36.63800000000001,-70.432
315,Don Joao de Castro Bank,38.23,-26.63
316,Doña Juana,1.5,-76.936
317,Dotsero,39.661,-107.035
318,Douglas,58.855,-153.542
319,Dubbi,13.579,41.809
320,Duncan Canal,56.5,-133.1
321,Durango Volcanic Field,24.15,104.45
322,Dutton,55.183,-162.276
323,Dzenzursky,53.637,158.922
324,East Blanco Depression,44.267,-129.879
325,East Gakkel Ridge at 85 E,85.60799999999998,85.25
326,East Zway,7.95,38.93
327,Easter Island,-27.15,-109.38
328,Ebeko,50.68600000000001,156.014
329,Edgecumbe,57.05,-135.75
330,Edziza,57.72,-130.63
331,Eggella,56.57,158.52
332,Ekarma,48.958,153.93
333,El Aguajito,27.554,-112.552
334,El Azufre,-25.37,-68.88
335,El Chichón,17.36,-93.228
336,El Cóndor,-26.632,-68.361
337,El Misti,-16.294,-71.40899999999998
338,El Negrillar,-24.18,-68.25
339,El Solo,-27.105,-68.71300000000001
340,El Tigre,13.47,-88.43
341,El Valle,8.58,-80.17
342,El Volcán,-22.33,-67.97
343,Elbrus,43.351000000000006,42.442
344,Elmenteita Badlands,-0.52,36.27
345,Elovsky,57.55,160.53
346,Emi Koussi,19.8,18.53
347,Emmons Lake,55.341,-162.07299999999995
348,Emuruangogolak,1.5,36.33
349,Endeavour Segment,47.95,-129.1
350,Erciyes Dagi,38.52,35.48
351,Erebus,-77.53,167.17
352,Erta Ale,13.6,40.67
353,Es Safa,33.25,37.07
354,Escala,-21.6,-66.88
355,Escanaba Segment,40.98,-127.5
356,Escorial,-25.083,-68.367
357,Esjufjoll,64.27,-16.65
358,Estelí,13.17,-86.4
359,Etna,37.734,15.004
360,Etorofu-Atosanupuri,44.808,147.131
361,Etorofu-Yakeyama,45.012,147.871
362,Evlanov Seamount,48.38399999999999,-35.132
363,Eyjafjallajökull,63.63,-19.62
364,Falso Azufre,-26.8,-68.37
365,Fayal,38.6,-28.73
366,Fedotych,57.13,160.4
367,Fentale,8.975,39.93
368,Fernandina,-0.37,-91.55
369,Fisher,54.65,-164.43
370,Flores,14.308,-89.992
371,Flores,39.462,-31.216
372,Fogo,14.95,-24.35
373,Fort Portal,0.7,30.25
374,Fort Selkirk,62.93,-137.38
375,Fourpeaked,58.77,-153.672
376,Fremrinamur,65.43,-16.65
377,Frosty,55.067,-162.835
378,Fuego,14.473,-90.88
379,Fueguino,-54.97,-70.262
380,Fuerteventura,28.358,-147.02
381,Furnas,37.77,-25.32
382,Fuss Peak,50.267,155.246
383,Gabillema,11.08,41.27
384,Gada Ale,13.975,40.408
385,Galeras,1.22,-77.37
386,Galunggung,-7.25,108.058
387,Gamalama Mount,0.8,127.33
388,Gamchen,54.974,160.703
389,Gareloi,51.79,-178.794
390,Garibaldi,49.85,-123.0
391,Garibaldi Lake,49.92,-123.03
392,Gedamsa,8.35,39.18
393,Gede-Pangrango,-6.77,106.965
394,Gemelos-Saladillo,-24.75,-66.17
395,Geodesistoy,56.33,158.67
396,Geureudong,4.813,96.82
397,Geysir,64.32,-20.3
398,Ghegam Ridge,40.275,44.75
399,Giggenbach,-30.036,-178.71200000000005
400,Glacier Peak,48.112,-121.113
401,Golan Heights,33.1,35.97
