,name,latitude,longitude
278,Concepción,11.538,-85.622
279,Copahue,-37.856,-71.183
280,Copiapó,-27.3,-69.13
281,Corbetti,7.18,38.43
282,Corcovado,-43.189,-72.794
283,Cordón de Puntas Negras,-23.743,-67.534
284,Cordon del Azufre,-25.336,-68.521
285,Coronado,29.08,-113.513
286,Coropuna,-15.52,-72.65
287,Corvo,39.699,-31.111
288,Cosigüina,12.98,-87.57
289,Coso Volcanic Field,36.03,-117.82
290,Cotopaxi,-0.677,-78.436
291,Crater Basalt Volcanic Field,-42.018,-70.194
292,Crater Lake,42.93,-122.12
293,Craters of the Moon,43.42,-113.5
294,Crow Lagoon,54.7,-130.23
295,Cu-Lao Re Group,15.38,109.12
296,Cuernos de Negros,9.25,123.17
297,Cuernos del Diablo,-41.363,-72.005
298,Cuicocha,0.308,-78.364
299,Cuilapa-Barbarena,14.33,-90.4
300,Cumbal,0.95,-77.87
301,Curtis Island,-30.542,-178.561
302,Curutú,-23.17,-67.07
303,Dabbahu,12.595,40.48
304,Dabbayra,12.38,40.07
305,Dacht-i-Navar Group,33.95,67.92
306,Dama Ali,11.28,41.63
307,Damavand,35.951,52.109
308,Dana,55.641,-161.214
309,Dar-Alages,39.704,45.551
310,Dariganga Volcanic Field,45.33,114
311,Davidof,51.97,178.33
312,Davis Lake,43.57,-170.82
313,Deception Island,-63.001,-60.652
314,Dempo,-4.03,103.13
315,Denison,58.418,-154.449
316,Descabezado Grande,-35.58,-70.75
317,Deslinde,-22.27,-67.97
318,Devils Garden,43.512,-120.861
319,Diamond Craters,43.1,-118.75
320,Didicas,19.077,122.202
321,Dieng Volcanic Complex,-7.2,109.92
322,Diky Greben,51.452,156.978
323,Dofan,9.78,40.33
324,Domuyo,-36.638,-70.432
325,Don Joao de Castro Bank,38.23,-26.63
326,Doña Juana,1.5,-76.936
327,Dotsero,39.661,-107.035
328,Douglas,58.855,-153.542
329,Dubbi,13.579,41.809
330,Dukono,1.693,127.894
331,Duncan Canal,56.5,-133.1
332,Durango Volcanic Field,24.15,104.45
333,Dutton,55.183,-162.276
334,Dzenzursky,53.637,158.922
335,East Blanco Depression,44.267,-129.879
336,East Gakkel Ridge at 85 E,85.608,85.25
337,East Zway,7.95,38.93
338,Easter Island,-27.15,-109.38
339,Ebeko,50.686,156.014
340,Ebulobo,-8.82,121.18
341,Edgecumbe,57.05,-135.75
342,Edziza,57.72,-130.63
343,Eggella,56.57,158.52
344,Egon,-8.676,122.455
345,Ekarma,48.958,153.93
346,El Aguajito,27.554,-112.552
347,El Azufre,-25.37,-68.88
348,El Chichón,17.36,-93.228
