db_name,db_volcano_number,db_name_to_lower,jasmin_name
Milbanke Sound Group,320120,milbanke_sound_group,milbanke_sound_group
Milna,290161,milna,milna
Milos,212030,milos,milos
Miñiques,355102,miñiques,miniques
Miravalles,345030,miravalles,miravalles
NULL,NULL,NULL,miyakejima
Mocho-Choshuenco,357130,mocho-choshuenco,mocho-choshuenco
Moekeshiwan [Lvinaya Past],290041,moekeshiwan_[lvinaya_past],moekeshiwan
Moffett,311111,moffett,moffett
Mombacho,344110,mombacho,mombacho
Momotombo,344090,momotombo,momotombo
Mono Craters,323120,mono_craters,mono-inyo_craters
Mono Lake Volcanic Field,323110,mono_lake_volcanic_field,mono_lake_volcanic_field
Monte Burney,358070,monte_burney,monte_burney
Morne aux Diables,360080,morne_aux_diables,morne_aux_diables
Morne Diablotins,360090,morne_diablotins,morne_diablotins
Moti,268063,moti,moti
Mousa Ali,221123,mousa_ali,mousa_alli
Moyorodake [Medvezhia],290100,moyorodake_[medvezhia],moyorodake
Moyuta,342130,moyuta,moyuta
Muhavura,223060,muhavura,muhavura
NULL,NULL,NULL,mundua
Muria,263251,muria,muria
Musuan,271070,musuan,musuan
Mutnovsky,300060,mutnovsky,mutnovsky
NULL,NULL,NULL,myokosan
Nabro,221101,nabro,nabro
NULL,NULL,NULL,nakanoshima
Namarunu,222040,namarunu,namarunu
NULL,NULL,NULL,nantai
Naolinco Volcanic Field,341095,naolinco_volcanic_field,naolinco_volcanic_field
NULL,NULL,NULL,naruko
NULL,NULL,NULL,nasudake
Natib,273082,natib,natib
Nazko,320140,nazko,nazko
Nejapa-Miraflores,344092,nejapa-miraflores,nejapa-miraflores
Nemrut Dagi,213020,nemrut_dagi,nemrut_dagi
Nevado Chachani,354007,nevado_chachani,nevado_chachani
Nevado de Incahuasi,355125,nevado_de_incahuasi,nevado_de_incahuasi
Nevado del Huila,351050,nevado_del_huila,nevado_del_huila
Nevado de Longaví,357063,nevado_de_longaví,nevado_de_longavi
Nevado del Ruiz,351020,nevado_del_ruiz,nevado_del_ruiz
Nevado del Tolima,351030,nevado_del_tolima,nevado_del_tolima
Nevado de Toluca,341070,nevado_de_toluca,nevado_de_toluca
Nevados Casiri,354060,nevados_casiri,nevados_casiri
Nevados de Chillan,357079,nevados_de_chillan,nevados_de_chillan
Nevados Ojos del Salado,355130,nevados_ojos_del_salado,nevados_ojos_del_salado
Nevis Peak,360040,nevis_peak,nevis_peak
Newberry,322110,newberry,newberry
Ngozi,222164,ngozi,ngozi
NULL,NULL,NULL,niigata-yakeyama
NULL,NULL,NULL,niijima
NULL,NULL,NULL,nikko-shiranesan
NULL,NULL,NULL,niseko
Nishihitokappuyama,290060,nishihitokappuyama,nishihitokappuyama
Nisyros,212050,nisyros,nisyros
NULL,NULL,NULL,norikuradake
North Island,222001,north_island,north_island
Novarupta,312180,novarupta,novarupta
NULL,NULL,NULL,numazawa
Nyambeni Hills,222056,nyambeni_hills,nyambeni_hills
Nyamuragira,223020,nyamuragira,nyamuragira
Nyiragongo,223030,nyiragongo,nyiragongo
Nylgimelkin,300650,nylgimelkin,nylgimelkin
O&#039;a Caldera,221280,o&#039;a_caldera,oa_caldera
Odamoisan [Tebenkov],290072,odamoisan_[tebenkov],odamoisan
Okataina,241050,okataina,okataina
NULL,NULL,NULL,oki-dogo
Okmok,311290,okmok,okmok
Oku Volcanic Field,224030,oku_volcanic_field,oku_volcanic_field
Olca-Paruma,355050,olca-paruma,olca-paruma
Ol Doinyo Eburru,222080,ol_doinyo_eburru,ol_doinyo_eburru
Ol Doinyo Lengai,222120,ol_doinyo_lengai,ol_doinyo_lengai
Olkaria,222090,olkaria,olkaria
Ol Kokwe,222055,ol_kokwe,ol_kokwe
Olkoviy Volcanic Group,300052,olkoviy_volcanic_group,olkoviy_volcanic_group
Ollagüe,355060,ollagüe,ollague
Olot Volcanic Field,210030,olot_volcanic_field,olot_volcanic_field
NULL,NULL,NULL,omanago_group
NULL,NULL,NULL,ontakesan
Opala,300080,opala,opala
Oraefajokull,374010,oraefajokull,oraefajokull
Orosí,345010,orosí,orosi
NULL,NULL,NULL,oshima-oshima
NULL,NULL,NULL,osorezan
Osorno,358010,osorno,osorno
Ostanets,300055,ostanets,ostanets
Ostry,300680,ostry,ostry
Otdelniy,300056,otdelniy,otdelniy
Ozernoy,300051,ozernoy,ozernoy
Pacaya,342110,pacaya,pacaya
Paka,222053,paka,paka
Palomo,357022,palomo,palomo
Paluweh,264150,paluweh,paluweh
Pampa Luxsar,355042,pampa_luxsar,pampa_luxsar
Panarea,211041,panarea,panarea
Pantelleria,211071,pantelleria,pantelleria
Papandayan,263100,papandayan,papandayan
Papayo,341081,papayo,papayo
Parinacota,355012,parinacota,parinacota
Parker,271011,parker,parker
Patah,261231,patah,patah
Patoc,273087,patoc,patoc
Patuha,263070,patuha,patuha
Payún Matrú,357066,payún_matrú,payun_matru
Peinado,355200,peinado,peinado
Penanggungan,263291,penanggungan,penanggungan
Perbakti-Gagak,263040,perbakti-gagak,perbakti-gagak
Peuet Sague,261030,peuet_sague,peuet_sague
Pico,382020,pico,pico
Pico de Orizaba,341100,pico_de_orizaba,pico_de_orizaba
Pinacate,341001,pinacate,pinacate
Pinatubo,273083,pinatubo,pinatubo
Piratkovsky,300054,piratkovsky,piratkovsky
Planchón-Peteroa,357040,planchón-peteroa,planchon-peteroa
Platanar,345034,platanar,platanar
Plosky,300310,plosky,plosky
Poás,3450501,poás,poas
Pocdol Mountains,273020,pocdol_mountains,pocdol_mountains
NULL,NULL,NULL,poco_leok
Pogranychny,300470,pogranychny,pogranychny
Popocatépetl,341090,popocatépetl,popocatepetl
Porak,214090,porak,porak
Prestahnukur,371070,prestahnukur,prestahnukur
Prevo Peak,290190,prevo_peak,prevo_peak
Pular,355107,pular,pular
Pulosari,263010,pulosari,pulosari
Pululagua,352011,pululagua,pululagua
Puntiagudo-Cordón Cenizos,357160,puntiagudo-cordón_cenizos,puntiagudo_cordon_cenizos
Puracé,351060,puracé,purace
Purico Complex,355094,purico_complex,purico_complex
Putana,355090,putana,putana
